"filename", "language", "Python", "Markdown", "YAML", "pip requirements", "HTML", "CSS", "JavaScript", "SCSS", "Log", "XML", "comment", "blank", "total"
"f:\code\Project\django-ecommerce-master\FUNDING.yml", "YAML", 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
"f:\code\Project\django-ecommerce-master\README.md", "Markdown", 0, 44, 0, 0, 0, 0, 0, 0, 0, 0, 0, 34, 78
"f:\code\Project\django-ecommerce-master\TODO.md", "Markdown", 0, 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 16
"f:\code\Project\django-ecommerce-master\core\__init__.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"f:\code\Project\django-ecommerce-master\core\admin.py", "Python", 36, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 8, 45
"f:\code\Project\django-ecommerce-master\core\apps.py", "Python", 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 6
"f:\code\Project\django-ecommerce-master\core\forms.py", "Python", 48, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 14, 62
"f:\code\Project\django-ecommerce-master\core\management\commands\rename.py", "Python", 23, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 12, 36
"f:\code\Project\django-ecommerce-master\core\migrations\0001_initial.py", "Python", 112, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 7, 120
"f:\code\Project\django-ecommerce-master\core\migrations\0002_auto_20190616_2144.py", "Python", 16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 6, 23
"f:\code\Project\django-ecommerce-master\core\migrations\0003_userprofile.py", "Python", 19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 6, 26
"f:\code\Project\django-ecommerce-master\core\migrations\0004_auto_20190630_1408.py", "Python", 12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 6, 19
"f:\code\Project\django-ecommerce-master\core\migrations\0005_auto_20201030_1429.py", "Python", 12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 6, 19
"f:\code\Project\django-ecommerce-master\core\migrations\0006_item_img_url.py", "Python", 12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 6, 19
"f:\code\Project\django-ecommerce-master\core\migrations\0007_remove_item_image.py", "Python", 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 6, 18
"f:\code\Project\django-ecommerce-master\core\migrations\0008_auto_20201030_1919.py", "Python", 29, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 6, 36
"f:\code\Project\django-ecommerce-master\core\migrations\0009_auto_20201030_2129.py", "Python", 22, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 6, 29
"f:\code\Project\django-ecommerce-master\core\migrations\0010_auto_20201030_2223.py", "Python", 12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 6, 19
"f:\code\Project\django-ecommerce-master\core\migrations\0011_auto_20201030_2230.py", "Python", 12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 6, 19
"f:\code\Project\django-ecommerce-master\core\migrations\0012_auto_20201030_2232.py", "Python", 12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 6, 19
"f:\code\Project\django-ecommerce-master\core\migrations\0013_comments.py", "Python", 16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 6, 23
"f:\code\Project\django-ecommerce-master\core\migrations\0014_auto_20201101_0134.py", "Python", 55, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 6, 62
"f:\code\Project\django-ecommerce-master\core\migrations\0015_peopleitem.py", "Python", 20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 6, 27
"f:\code\Project\django-ecommerce-master\core\migrations\0016_auto_20201101_1332.py", "Python", 12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 6, 19
"f:\code\Project\django-ecommerce-master\core\migrations\0017_followitem_followlist.py", "Python", 26, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 6, 33
"f:\code\Project\django-ecommerce-master\core\migrations\0018_moviepeoplerelationship.py", "Python", 16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 6, 23
"f:\code\Project\django-ecommerce-master\core\migrations\0019_auto_20201102_1441.py", "Python", 12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 6, 19
"f:\code\Project\django-ecommerce-master\core\migrations\__init__.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"f:\code\Project\django-ecommerce-master\core\models.py", "Python", 198, 0, 0, 0, 0, 0, 0, 0, 0, 0, 39, 88, 325
"f:\code\Project\django-ecommerce-master\core\templatetags\cart_template_tags.py", "Python", 17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 23
"f:\code\Project\django-ecommerce-master\core\tests.py", "Python", 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2, 4
"f:\code\Project\django-ecommerce-master\core\urls.py", "Python", 54, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 14, 68
"f:\code\Project\django-ecommerce-master\core\views.py", "Python", 664, 0, 0, 0, 0, 0, 0, 0, 0, 0, 81, 166, 911
"f:\code\Project\django-ecommerce-master\halo\__init__.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"f:\code\Project\django-ecommerce-master\halo\settings\__init__.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"f:\code\Project\django-ecommerce-master\halo\settings\base.py", "Python", 63, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 17, 83
"f:\code\Project\django-ecommerce-master\halo\settings\development.py", "Python", 35, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 12, 48
