DATE,MEHOINUSA672N
1914,4
1915,6
1916,4
1917,6
1918,3
1919,12
1920,13
1921,14
1922,11
1923,14
1924,21
1925,22
1926,23
1927,27
1928,34
1929,34
1930,25
1931,39
1932,46
1933,46
1934,48
1935,54
1936,52
1937,55
1938,38
1939,57
1940,48
1941,49
1942,45
1943,45
1944,49
1945,50
1946,53
1947,75
1948,87
1949,84
1950,66
1951,80
1952,82
1953,84
1954,91
1955,113
1956,142
1957,110
1958,126
1959,121
1960,146
1961,120
1962,145
1963,148
1964,169
1965,161
1966,171
1967,169
1968,170
1969,202
1970,198
1971,230
1972,199
1973,210
1974,213
1975,219
1976,236
1977,231
1978,209
1979,258
1980,266
1981,299
1982,281
1983,306
1984,330
1985,366
1986,359
1987,383
1988,432
1989,465
1990,447
1991,451
1992,466
1993,492
1994,534
1995,548
1996,542
1997,564
1998,594
1999,653
2000,759
2001,803
2002,812
2003,804
2004,803
2005,765
2006,838
2007,868
2008,892
2009,915
2010,913
2011,939
2012,900
2013,940
2014,946
2015,943
2016,938
2017,928
2018,771
2019/1/1,65
