layer	name	img_url	url	rate	rate1	rate2
1	钟馗伏魔：雪妖魔灵	https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2224452276.webp	/movie/25713420/	42	46	45
2	赵天宇 Tianyu Zhao	https://img3.doubanio.com/view/celebrity/s_ratio_celebrity/public/p1533824664.05.webp	/people/1314029/	20	9	20
3	万有引力	https://img1.doubanio.com/view/photo/s_ratio_poster/public/p913359188.webp	/movie/4906427/	42	47	48
4	张艺心 Yixin Zhang	https://img3.doubanio.com/view/celebrity/s_ratio_celebrity/public/p1510903552.1.webp	/people/1327683/	68	75	65
5	七天爱上你	https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2374290660.webp	/movie/3757161/	6	7	3
6	贺军翔 Mike He	https://img1.doubanio.com/view/celebrity/s_ratio_celebrity/public/p11679.webp	/people/1270178/	19	21	3
7	活该你单身	https://img3.doubanio.com/view/photo/s_ratio_poster/public/p513025771.webp	/movie/4258485/	48	52	43
8	陶虹 Hong Tao	https://img1.doubanio.com/view/celebrity/s_ratio_celebrity/public/p1368429021.58.webp	/people/1015199/	5	20	4
9	红色小提琴 Le violon rouge	https://img3.doubanio.com/view/photo/s_ratio_poster/public/p1486350295.webp	/movie/1294595/	59	52	70
10	周志清 Zhiqing Zhou	https://img3.doubanio.com/f/movie/8dd0c794499fe925ae2ae89ee30cd225750457b4/pics/movie/celebrity-default-medium.png	/people/1380630/	63	75	74
1	第24届中国电视金鹰奖颁奖典礼	https://img3.doubanio.com/f/movie/30c6263b6db26d055cbbe73fe653e29014142ea3/pics/movie/movie_default_large.png	/movie/26985963/	92	90	89
2	赵忠祥 Zhongxiang Zhao	https://img3.doubanio.com/view/celebrity/s_ratio_celebrity/public/p1524319396.35.webp	/people/1318427/	42	40	34
3	爸爸去哪儿2	https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2225907485.webp	/movie/25951736/	73	83	62
4	陆毅 Yi Lu	https://img3.doubanio.com/view/celebrity/s_ratio_celebrity/public/p1357207946.14.webp	/people/1014781/	78	73	80
5	北京遇上西雅图之不二情书	https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2336879398.webp	/movie/26322792/	79	77	98
6	焦华静 Huajing Jiao	https://img3.doubanio.com/view/celebrity/s_ratio_celebrity/public/p1533824148.14.webp	/people/1317631/	63	52	56
7	假装情侣	https://img1.doubanio.com/view/photo/s_ratio_poster/public/p1060964377.webp	/movie/4858775/	77	82	81
