id,parentId,name,description,url
1,,马龙·白兰,https://img3.doubanio.com/view/celebrity/s_ratio_celebrity/public/p45035.webp,/people/1041025/
2,1,逃亡者 T,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2204696402.webp,/movie/1293217/
3,2,米德·罗伯,https://img3.doubanio.com/f/movie/8dd0c794499fe925ae2ae89ee30cd225750457b4/pics/movie/celebrity-default-medium.png,/people/1020155/
4,3,谋杀地下老,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p938399396.webp,/movie/1438613/
5,4,瓦尔·埃弗,https://img1.doubanio.com/view/celebrity/s_ratio_celebrity/public/p56899.webp,/people/1059246/
6,5,豪勇七蛟龙,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2206757754.webp,/movie/1303373/
9,4,本·戈扎那,https://img3.doubanio.com/view/celebrity/s_ratio_celebrity/public/p24090.webp,/people/1049792/
10,9,死神通告 ,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2510466405.webp,/movie/1302021/
15,2,安娜·马尼,https://img3.doubanio.com/view/celebrity/s_ratio_celebrity/public/p14616.webp,/people/1032281/
16,15,小美人 B,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2198604063.webp,/movie/1470212/
17,16,加斯托内·,https://img3.doubanio.com/f/movie/8dd0c794499fe925ae2ae89ee30cd225750457b4/pics/movie/celebrity-default-medium.png,/people/1146662/
18,17,屋顶 Il,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2454914097.webp,/movie/1302361/
21,16,诺拉·里奇,https://img3.doubanio.com/view/celebrity/s_ratio_celebrity/public/p1356420770.2.webp,/people/1148713/
22,21,女巫 Le,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2546237012.webp,/movie/1764808/
25,16,阿历山德罗,https://img1.doubanio.com/view/celebrity/s_ratio_celebrity/public/p1540905493.18.webp,/people/1012713/
26,25,1860,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2540328639.webp,/movie/3261956/
31,2,西德尼·吕,https://img1.doubanio.com/view/celebrity/s_ratio_celebrity/public/p1309.webp,/people/1010627/
32,31,满洲候选人,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p1588812251.webp,/movie/1309118/
33,32,祖德·塞克,https://img3.doubanio.com/view/celebrity/s_ratio_celebrity/public/p32332.webp,/people/1315528/
34,33,百万美元宝,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p1734930026.webp,/movie/1309016/
